p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
47	26	4	2	[2, 3, 4]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	26	4	2	[2, 3, 4]	3	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	26	4	2	[2, 3, 4]	3	2	FOUND	YES_EXACT	6	[-1, 0, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	26	4	2	[2, 3, 4]	3	3	FOUND	YES_EXACT	6	[-3, 0, 0, 0, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	26	4	2	[2, 3, 4]	3	4	FOUND	YES_EXACT	6	[-6, -1, 0, 0, -2]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	27	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	27	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	27	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	12	[-1, -1, 1, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	27	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	12	[-1, 1, -1, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	27	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[0, -2, -2, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	28	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	28	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	28	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[0, 0, -1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	28	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	18	[0, -1, -2, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	28	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[2, 2, -5, -3, 0]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	29	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	29	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	29	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	16	[-2, 0, -1, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	29	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	7	[-1, 0, 0, 0, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
