p = 179
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2404, targetH = 2404
used: Amax=128, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=236150.09 enum=70289.32 packets=14.11 reduce=102.36 merge=165696.1 setup=1437.9 iso=95.51
checks: packet_checked=620557 packet_merged=397527 f1_checked=159810194 f1_merged=398715 f1_classes=1216 slow_count=5 candidates=403784
bounds: old_min=90 old_median=9720 old_max=11520 new_min=14 new_median=22 new_max=90
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[138] 9 25 -1 1 -2 1  |  [ 9  (-1,1,-2,1) ; (0,-1,2,-1)  25 ]  | det=1? true
[139] 21 25 -8 -3 -3 1  |  [ 21  (-8,-3,-3,1) ; (-7,3,3,-1)  25 ]  | det=1? true
[140] 9 26 -2 0 -1 -2  |  [ 9  (-2,0,-1,-2) ; (-4,0,1,2)  26 ]  | det=1? true
[141] 8 25 -3 -2 0 -2  |  [ 8  (-3,-2,0,-2) ; (-5,2,0,2)  25 ]  | det=1? true
[142] 16 25 -4 -3 -2 -2  |  [ 16  (-4,-3,-2,-2) ; (-6,3,2,2)  25 ]  | det=1? true
[143] 16 25 -6 -3 -2 2  |  [ 16  (-6,-3,-2,2) ; (-4,3,2,-2)  25 ]  | det=1? true
[144] 25 25 -11 -4 -1 -3  |  [ 25  (-11,-4,-1,-3) ; (-14,4,1,3)  25 ]  | det=1? true
[145] 25 25 -14 -4 -1 3  |  [ 25  (-14,-4,-1,3) ; (-11,4,1,-3)  25 ]  | det=1? true
[146] 23 26 -2 -1 -3 -2  |  [ 23  (-2,-1,-3,-2) ; (-4,1,3,2)  26 ]  | det=1? true
[147] 21 25 -7 -3 -3 -1  |  [ 21  (-7,-3,-3,-1) ; (-8,3,3,1)  25 ]  | det=1? true
[148] 25 25 -12 -3 -3 -1  |  [ 25  (-12,-3,-3,-1) ; (-13,3,3,1)  25 ]  | det=1? true
[149] 25 25 -13 -3 -3 1  |  [ 25  (-13,-3,-3,1) ; (-12,3,3,-1)  25 ]  | det=1? true
[150] 25 25 -5 1 -2 -3  |  [ 25  (-5,1,-2,-3) ; (-8,-1,2,3)  25 ]  | det=1? true
[151] 25 25 -8 1 -2 3  |  [ 25  (-8,1,-2,3) ; (-5,-1,2,-3)  25 ]  | det=1? true
[152] 25 26 -5 -4 -2 -3  |  [ 25  (-5,-4,-2,-3) ; (-8,4,2,3)  26 ]  | det=1? true
[153] 25 26 -8 -4 -2 3  |  [ 25  (-8,-4,-2,3) ; (-5,4,2,-3)  26 ]  | det=1? true
[154] 21 25 -6 -4 -1 -3  |  [ 21  (-6,-4,-1,-3) ; (-9,4,1,3)  25 ]  | det=1? true
[155] 21 25 -9 -4 -1 3  |  [ 21  (-9,-4,-1,3) ; (-6,4,1,-3)  25 ]  | det=1? true
[156] 23 26 -4 -1 -3 2  |  [ 23  (-4,-1,-3,2) ; (-2,1,3,-2)  26 ]  | det=1? true
[157] 10 25 -4 0 -1 -2  |  [ 10  (-4,0,-1,-2) ; (-6,0,1,2)  25 ]  | det=1? true
[158] 25 25 -5 -1 -3 -2  |  [ 25  (-5,-1,-3,-2) ; (-7,1,3,2)  25 ]  | det=1? true
[159] 25 25 -7 -1 -3 2  |  [ 25  (-7,-1,-3,2) ; (-5,1,3,-2)  25 ]  | det=1? true
[160] 20 27 -9 -8 -2 -2  |  [ 20  (-9,-8,-2,-2) ; (-11,8,2,2)  27 ]  | det=1? true
[161] 18 28 -8 -7 -2 -2  |  [ 18  (-8,-7,-2,-2) ; (-10,7,2,2)  28 ]  | det=1? true
[162] 18 28 -10 -7 -2 2  |  [ 18  (-10,-7,-2,2) ; (-8,7,2,-2)  28 ]  | det=1? true
[163] 9 27 -3 -1 -1 -2  |  [ 9  (-3,-1,-1,-2) ; (-5,1,1,2)  27 ]  | det=1? true
[164] 22 27 -2 0 -3 -2  |  [ 22  (-2,0,-3,-2) ; (-4,0,3,2)  27 ]  | det=1? true
[165] 22 27 -4 0 -3 2  |  [ 22  (-4,0,-3,2) ; (-2,0,3,-2)  27 ]  | det=1? true
[166] 25 27 -6 -5 -2 -3  |  [ 25  (-6,-5,-2,-3) ; (-9,5,2,3)  27 ]  | det=1? true
[167] 25 27 -9 -5 -2 3  |  [ 25  (-9,-5,-2,3) ; (-6,5,2,-3)  27 ]  | det=1? true
[168] 26 27 -9 -2 -2 -3  |  [ 26  (-9,-2,-2,-3) ; (-12,2,2,3)  27 ]  | det=1? true
[169] 26 27 -12 -2 -2 3  |  [ 26  (-12,-2,-2,3) ; (-9,2,2,-3)  27 ]  | det=1? true
[170] 15 28 -5 -4 -2 -2  |  [ 15  (-5,-4,-2,-2) ; (-7,4,2,2)  28 ]  | det=1? true
[171] 15 28 -7 -4 -2 2  |  [ 15  (-7,-4,-2,2) ; (-5,4,2,-2)  28 ]  | det=1? true
[172] 23 27 -5 0 -3 -2  |  [ 23  (-5,0,-3,-2) ; (-7,0,3,2)  27 ]  | det=1? true
[173] 23 27 -7 0 -3 2  |  [ 23  (-7,0,-3,2) ; (-5,0,3,-2)  27 ]  | det=1? true
[174] 16 27 -7 -2 -2 -2  |  [ 16  (-7,-2,-2,-2) ; (-9,2,2,2)  27 ]  | det=1? true
[175] 16 27 -9 -2 -2 2  |  [ 16  (-9,-2,-2,2) ; (-7,2,2,-2)  27 ]  | det=1? true
[176] 24 27 -9 -2 -2 3  |  [ 24  (-9,-2,-2,3) ; (-6,2,2,-3)  27 ]  | det=1? true
[177] 23 28 -6 -2 -3 -2  |  [ 23  (-6,-2,-3,-2) ; (-8,2,3,2)  28 ]  | det=1? true
[178] 24 27 -6 -2 -2 -3  |  [ 24  (-6,-2,-2,-3) ; (-9,2,2,3)  27 ]  | det=1? true
[179] 23 28 -8 -2 -3 2  |  [ 23  (-8,-2,-3,2) ; (-6,2,3,-2)  28 ]  | det=1? true
[180] 28 28 -2 -2 -1 -4  |  [ 28  (-2,-2,-1,-4) ; (-6,2,1,4)  28 ]  | det=1? true
[181] 28 28 -6 -2 -1 4  |  [ 28  (-6,-2,-1,4) ; (-2,2,1,-4)  28 ]  | det=1? true
[182] 16 28 -7 -4 -2 -2  |  [ 16  (-7,-4,-2,-2) ; (-9,4,2,2)  28 ]  | det=1? true
[183] 16 28 -9 -4 -2 2  |  [ 16  (-9,-4,-2,2) ; (-7,4,2,-2)  28 ]  | det=1? true
[184] 27 27 -11 0 -3 -2  |  [ 27  (-11,0,-3,-2) ; (-13,0,3,2)  27 ]  | det=1? true
[185] 27 27 -13 0 -3 2  |  [ 27  (-13,0,-3,2) ; (-11,0,3,-2)  27 ]  | det=1? true
[186] 27 27 -9 -5 -2 -3  |  [ 27  (-9,-5,-2,-3) ; (-12,5,2,3)  27 ]  | det=1? true
[187] 27 27 -12 -5 -2 3  |  [ 27  (-12,-5,-2,3) ; (-9,5,2,-3)  27 ]  | det=1? true
[188] 10 27 -4 -4 -1 -2  |  [ 10  (-4,-4,-1,-2) ; (-6,4,1,2)  27 ]  | det=1? true
[189] 8 30 -2 -2 -1 -2  |  [ 8  (-2,-2,-1,-2) ; (-4,2,1,2)  30 ]  | det=1? true
[190] 8 30 -4 -2 -1 2  |  [ 8  (-4,-2,-1,2) ; (-2,2,1,-2)  30 ]  | det=1? true
[191] 9 29 -4 -3 -2 -1  |  [ 9  (-4,-3,-2,-1) ; (-5,3,2,1)  29 ]  | det=1? true
[192] 14 30 -5 -4 -2 -2  |  [ 14  (-5,-4,-2,-2) ; (-7,4,2,2)  30 ]  | det=1? true
[193] 14 30 -7 -4 -2 2  |  [ 14  (-7,-4,-2,2) ; (-5,4,2,-2)  30 ]  | det=1? true
[194] 8 29 -2 0 -2 -1  |  [ 8  (-2,0,-2,-1) ; (-3,0,2,1)  29 ]  | det=1? true
